secid,total_rows,first_date,last_date,active_days,active_months,avg_rows_per_active_day
SBER,926463,2022-01-03,2026-03-30,1138,51,814.1151142355009
GAZP,926253,2022-01-03,2026-03-30,1138,51,813.9305799648506
VTBR,922861,2022-01-03,2026-03-30,1134,51,813.8104056437389
ROSN,925612,2022-01-03,2026-03-30,1138,51,813.3673110720563
LKOH,923353,2022-01-03,2026-03-30,1138,51,811.3822495606327
T,902411,2022-01-03,2026-03-30,1114,51,810.0637342908439
NVTK,918199,2022-01-03,2026-03-30,1134,51,809.6992945326278
TATN,914907,2022-01-03,2026-03-30,1136,51,805.3758802816901
AFLT,915768,2022-01-03,2026-03-30,1138,51,804.7170474516696
MAGN,915487,2022-01-03,2026-03-30,1138,51,804.4701230228471
IRAO,912965,2022-01-03,2026-03-30,1136,51,803.6663732394367
CHMF,905806,2022-01-03,2026-03-30,1138,51,795.96309314587
ALRS,905618,2022-01-03,2026-03-30,1138,51,795.7978910369069
GMKN,902049,2022-01-03,2026-03-30,1134,51,795.457671957672
MOEX,904675,2022-01-03,2026-03-30,1138,51,794.9692442882249
VKCO,879324,2022-01-03,2026-03-30,1112,51,790.7589928057554
PLZL,892718,2022-01-03,2026-03-30,1131,51,789.31741821397
RUAL,898077,2022-01-03,2026-03-30,1138,51,789.1713532513181
NLMK,897370,2022-01-03,2026-03-30,1138,51,788.5500878734622
MGNT,885344,2022-01-03,2026-03-30,1138,51,777.9824253075572
MTSS,882295,2022-01-03,2026-03-30,1137,51,775.9850483729111
AFKS,876167,2022-01-03,2026-03-30,1138,51,769.9182776801406
PIKK,859574,2022-01-03,2026-03-30,1138,51,755.3374340949033
MTLR,857991,2022-01-03,2026-03-30,1136,51,755.2737676056338
OZON,784430,2022-01-03,2026-03-30,1044,50,751.3697318007663
SPBE,839451,2022-01-03,2026-03-30,1136,51,738.9533450704225
SNGS,837060,2022-01-03,2026-03-30,1138,51,735.5536028119508
PHOR,833257,2022-01-03,2026-03-30,1136,51,733.5008802816901
RTKM,834151,2022-01-03,2026-03-30,1138,51,732.9973637961335
SIBN,824756,2022-01-03,2026-03-30,1130,51,729.8725663716814
SGZH,827373,2022-01-03,2026-03-30,1136,51,728.3213028169014
SMLT,819032,2022-01-03,2026-03-30,1136,51,720.9788732394367
POSI,814200,2022-01-03,2026-03-30,1136,51,716.7253521126761
FLOT,808772,2022-01-03,2026-03-30,1136,51,711.9471830985915
HYDR,803761,2022-01-03,2026-03-30,1138,51,706.292618629174
BELU,778008,2022-01-03,2026-03-30,1126,51,690.9484902309059
FEES,769130,2022-01-03,2026-03-30,1124,51,684.2793594306049
RNFT,756521,2022-01-03,2026-03-30,1132,51,668.3047703180212
ENPG,760241,2022-01-03,2026-03-30,1138,51,668.0500878734622
MVID,747832,2022-01-03,2026-03-30,1132,51,660.6289752650176
UPRO,727424,2022-01-03,2026-03-30,1136,51,640.3380281690141
SELG,708324,2022-01-03,2026-03-30,1136,51,623.5246478873239
BSPB,699618,2022-01-03,2026-03-30,1132,51,618.0371024734982
FESH,662897,2022-01-03,2026-03-30,1126,51,588.7184724689165
OGKB,664971,2022-01-03,2026-03-30,1132,51,587.4302120141343
CBOM,652687,2022-01-03,2026-03-30,1138,51,573.5386643233743
TRMK,647740,2022-01-03,2026-03-30,1132,51,572.208480565371
AQUA,640305,2022-01-03,2026-03-30,1127,51,568.1499556344277
MDMG,623720,2022-01-03,2026-03-30,1112,51,560.8992805755396
NMTP,624257,2022-01-03,2026-03-30,1130,51,552.4398230088495
ETLN,537779,2022-01-03,2026-03-30,1042,49,516.1026871401151
